Datum,Adress,Kommun,Område,Slutpris/Sistabud,Pris,Boarea,Rum
2025-04-16,Södermannagatan 60,Stockholm,Södermalm,Slutpris,4800000,40.0,2.0
2025-04-16,Bergsundsgatan 16,Stockholm,Hornstull,Slutpris,3430000,27.0,1.0
2025-04-16,Typografvägen 3,Stockholm,Aspudden,Slutpris,7300000,80.0,3.0
2025-04-16,Östgötagatan 40,Stockholm,Södermalm,Slutpris,6615000,56.0,2.0
2025-04-16,Västerled 31,Stockholm,Äppelviken,Slutpris,5720000,70.0,2.0
2025-04-16,Jakob Westinsgatan 7,Stockholm,Kungsholmen,Slutpris,7900000,77.0,2.5
2025-04-16,Birger Jarlsgatan 46B,Stockholm,Östermalm,Sista bud,9700000,68.0,3.0
2025-04-16,Atlasgatan 13,Stockholm,Vasastan,Slutpris,3400000,25.0,1.5
2025-04-16,Charlottenburgsvägen 32C,Solna,Råsunda,Sista bud,2550000,36.0,1.0
2025-04-16,Kungsholms Hamnplan 5A,Stockholm,Kungsholmen,Sista bud,7985000,64.0,2.0
2025-04-16,Ninni Kronbergs gata 10,Stockholm,Vasastan,Sista bud,4380000,46.0,2.0
2025-04-16,Folkskolegatan 3,Stockholm,Södermalm,Sista bud,4400000,40.0,2.0
2025-04-16,Tivolivägen 12,Stockholm,Västberga,Sista bud,2195000,39.0,1.5
2025-04-16,Vintrosagatan 50,Stockholm,Hagsätra,Slutpris,2280000,80.0,3.0
2025-04-16,Gästrikegatan 18A,Stockholm,Vasastan,Sista bud,7070000,53.0,2.0
2025-04-16,Storsjövägen 41,Stockholm,Årsta,Slutpris,3075000,52.0,3.0
2025-04-16,Loviselundsvägen 17,Stockholm,Hässelby Gård,Sista bud,1395000,69.0,3.5
2025-04-16,Östgötagatan 68,Stockholm,Södermalm,Slutpris,9750000,77.0,3.5
2025-04-16,Grindvägen 2M,Norrtälje,Grind,Sista bud,1550000,73.0,3.0
2025-04-16,Wargentinsgatan 5D,Stockholm,Kungsholmen,Sista bud,4500000,40.0,2.0
2025-04-16,Sturehillsvägen 6,Stockholm,Liljeholmskajen,Slutpris,6150000,84.0,3.0
2025-04-16,Svetsarvägen 21,Järfälla,Kallhäll,Slutpris,1695000,39.2,1.0
2025-04-16,Bergaparksvägen 28,Österåker,Centrala Åkersberga,Sista bud,2395000,74.1,2.5
2025-04-16,Åkerbyvägen 92,Täby,Täby Centrum,Sista bud,4100000,88.5,3.0
2025-04-16,Skånegatan 80,Stockholm,Nytorget,Sista bud,9750000,67.0,3.0
2025-04-16,Skridskovägen 13,Stockholm,Västertorp,Slutpris,5920000,92.0,4.0
2025-04-16,Rådmansgatan 8,Stockholm,Östermalm,Slutpris,6200000,55.0,2.0
2025-04-16,Riksdalervägen 7,Stockholm,Hägerstensåsen,Sista bud,3924500,63.0,2.0
2025-04-16,Ullerudsbacken 85,Stockholm,Farsta Strand,Sista bud,3250000,75.1,3.0
2025-04-16,Lanforsvägen 47,Stockholm,Hjorthagen,Sista bud,3275000,44.2,2.0
2025-04-16,Brommavägen 8,Solna,Vireberg,Sista bud,3450000,57.0,2.0
2025-04-16,Hästskovägen 7,Värmdö,Hästhagen,Slutpris,3150000,90.0,3.0
2025-04-16,Finnbergsvägen 62,Nacka,Finnboda,Sista bud,4500000,67.0,2.0
2025-04-16,Slalomvägen 15,Stockholm,Västertorp,Slutpris,2850000,57.0,2.0
2025-04-16,Grev Magnigatan 10A,Stockholm,Östermalm,Sista bud,7250000,52.0,2.0
2025-04-16,Serenadvägen 11,Nacka,Nacka Forum,Slutpris,2400000,44.0,1.0
2025-04-16,Petrejusvägen 24,Stockholm,Hammarbyhöjden,Sista bud,4200000,61.0,3.0
2025-04-16,Björnsonsgatan 158,Stockholm,Bromma,Sista bud,6250000,124.0,5.0
2025-04-16,Sigtunagatan 3,Stockholm,Vasastan Odenplan,Sista bud,12550000,93.0,3.0
2025-04-16,Segelbåtsvägen 10,Stockholm,Essingeöarna,Sista bud,8050000,90.0,4.0
2025-04-16,Parkvägen 1,Vallentuna,Vallentuna Centrum,Sista bud,1300000,38.5,2.0
2025-04-16,Ringvägen 100,Haninge,Västerhaninge,Sista bud,1850000,77.0,4.0
2025-04-16,Rörstrandsgatan 31,Stockholm,Vasastan,Slutpris,13450000,97.0,3.0
2025-04-16,Vega Allé 79,Haninge,Vega,Sista bud,2895000,70.0,4.0
2025-04-16,Scheelegatan 40A,Stockholm,Kungsholmen,Sista bud,7500000,75.0,3.0
2025-04-15,Kvarnbacksvägen 119,Stockholm,Bromma,Slutpris,3000000,54.0,3.0
2025-04-15,Svarvargatan 20,Stockholm,Kungsholmen,Slutpris,3035000,27.0,1.0
2025-04-15,August Wahlströms väg 19,Danderyd,Mörbybacken,Slutpris,3600000,62.6,2.0
2025-04-15,Hagaesplanaden 97,Stockholm,Hagastaden,Slutpris,5050000,45.0,2.0
2025-04-15,Kristinelundsvägen 30,Solna,Huvudsta,Slutpris,3800000,86.0,3.0
2025-04-15,Årstaskogs väg 7C,Stockholm,Liljeholmskajen,Slutpris,7000000,99.0,4.0
2025-04-15,Högklintavägen 20,Sundbyberg,Centrala Sundbyberg,Slutpris,5450000,80.0,3.0
2025-04-15,Eklångsvägen 12,Stockholm,Årsta,Slutpris,3500000,54.2,2.0
2025-04-15,Simpbylevägen 8B,Norrtälje,Gransäter,Sista bud,1375000,80.7,3.0
2025-04-15,Flintbacken 6,Stockholm,Södermalm,Slutpris,2660000,29.5,1.0
2025-04-15,Fleminggatan 60A,Stockholm,Kungsholmen,Slutpris,5150000,34.0,2.0
2025-04-15,Fridhemsgatan 66A,Stockholm,Kungsholmen,Slutpris,6000000,54.0,2.0
2025-04-15,Karlsviksgatan 4,Stockholm,Kungsholmen,Slutpris,8350000,66.0,2.0
2025-04-15,Teknologgatan 7A,Stockholm,Vasastan,Slutpris,5600000,46.0,2.0
2025-04-15,Högalidsgatan 32B,Stockholm,Högalid,Slutpris,9000000,68.0,3.0
2025-04-15,Middagsvägen 16,Botkyrka,Tullinge,Slutpris,2050000,75.0,2.0
2025-04-15,Nytorgsgatan 15A,Stockholm,Södermalm,Sista bud,5400000,40.0,2.0
2025-04-15,Tegelbruksgatan 3,Vallentuna,Vallentuna Centrum,Sista bud,3150000,70.0,2.0
2025-04-15,Kristinehovsgatan 5A,Stockholm,Södermalm,Slutpris,3160000,26.0,1.5
2025-04-15,Bastugatan 25,Stockholm,Södermalm,Slutpris,6150000,48.0,1.5
